objects,origin,destination,interval,vehicle_id
Blood,Zwischen den Räumen,Stimme vom Berg,20 min,1
Breakfast,Emmaus Kapelle,Klinik für Frauenheilkunde,20 min,2
Blood,Stimme vom Berg,Emmaus Kapelle,20 min,1
Palenka,Klinik für Frauenheilkunde,Emmaus Kapelle,20 min,3
Vaccines,Emmaus Kapelle,Stimme vom Berg,20 min,3
Dishes,Klinik für Frauenheilkunde,Emmaus Kapelle,20 min,2
Water,Café am Ring,Tonus,20 min,7
Dishes,Neurozentrum,Café am Eck,20 min,14
Blood,Stimme vom Berg,Klinik für Onkologische Rehabilitation,20 min,18
Medicines,Universitätsklinikum Freiburg - Klinik für Innere Medizin,Apotheke des Universitätsklinikums,20 min,3
Coffee,Café am Ring,Die Andere Galerie,20 min,21
Vaccines,Tonus,Klinik für Palliativmedizin,20 min,10
Lunch,Bistro am Lorenzring,Klinik für Frauenheilkunde,20 min,4
Blood,Notfallpraxis der niedergelassenen Ärzte,Universitätsklinikum Freiburg - Klinik für Innere Medizin,20 min,1
Syringes,Urologie,Notaufnahme,20 min,12
Dishes,Bistro am Lorenzring,Klinik für Frauenheilkunde,20 min,8
Drinks,Café am Ring,Café am Eck,20 min,13
Blood,Augenklinik / HNO,Neurozentrum,20 min,5
Vaccines,Blutspende Freiburg,Stimme vom Berg,20 min,24
Dishes,Klinik für Frauenheilkunde,Luther Kindergarten,20 min,15
Clothes,Medienzentrum,Universitätsklinikum Freiburg - Klinik für Innere Medizin,20 min,9
Masks,Apotheke des Universitätsklinikums,Notaufnahme,20 min,22
Vaccines,Ernährungsmedizin,3SAM Tagespflege,20 min,17
Dishes,Gum,Emmaus Kapelle,20 min,11
Water,Café am Ring,Terrakotta,20 min,2
Clothes,Klinik für Onkologische Rehabilitation,Klinik für Frauenheilkunde,20 min,6
Vaccines,Apotheke des Universitätsklinikums,Neurozentrum,20 min,20
Dishes,Klinik für Frauenheilkunde,Große Kugelkopfsäule,20 min,16
Blood,Emmaus Kapelle,Universitätsklinikum Freiburg - Klinik für Innere Medizin,20 min,19
Syringes,Urologie,Klinik für Frauenheilkunde,20 min,23
Vaccines,Stimme vom Berg,Urologie,20 min,25